URL,Status Code,Response Message,Domain Status,Expiration Date,For Sale,Response Time
https://www.marriott.com/hotels/travel/burap-los-angeles-marriott-burbank-airport/?y_source=1_NzQ4MDIzLTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.732428
https://www.marriott.com/hotels/travel/laxto-courtyard-los-angeles-torrance-palos-verdes/?y_source=1_NjUwMDc3LTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.68633
http://www.sirtajhotel.com/,404.0,Not Found,Fresh,2024-12-13 22:54:18,No,0.765602
https://www.marriott.com/hotels/travel/laxhc-courtyard-los-angeles-lax-hawthorne/?y_source=1_OTkzMDYyMy00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.72369
https://www.marriott.com/hotels/travel/laxap-los-angeles-airport-marriott/?y_source=1_NzQ4MDU0LTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.732925
https://www.hilton.com/en/hotels/laxdrgi-hilton-garden-inn-los-angeles-marina-del-rey,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.931068
http://www.hotelwilshire.com/,200.0,OK,Fresh,2024-08-07 18:14:36,No,2.989647
https://www.ihg.com/holidayinnexpress/hotels/us/en/los-angeles/laxfa/hoteldetail,200.0,OK,Fresh,2024-05-03 04:00:00,No,0.713183
https://www.hilton.com/en/hotels/laxrbgi-hilton-garden-inn-los-angeles-redondo-beach,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.732346
https://www.viceroyhotelsandresorts.com/en/santamonica/dining_and_nightlife/cast,200.0,OK,Fresh,2025-01-23 20:05:09,No,2.389829
https://foursquare.com/explore?q=Travel%20and%20Transportation&near=South%20LA%20Los%20Angeles%2C%20CA,200.0,OK,Fresh,2025-03-26 00:18:55,No,2.31263
https://www.marriott.com/hotels/travel/laxxl-fairfield-inn-and-suites-los-angeles-lax-el-segundo/?y_source=1_MjI5NzY0MS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.68996
https://www.godfreyhotelhollywood.com/,200.0,OK,Fresh,2025-08-16 16:03:35,No,1.30503
https://www.chamberlainwesthollywood.com/,200.0,OK,Fresh,2024-12-05 01:03:13,No,4.101166
http://www.gatewayhotel.com/,200.0,OK,Fresh,2032-06-07 04:00:00,No,1.041288
https://www.hilton.com/en/hotels/lgbspdt-doubletree-san-pedro-port-of-los-angeles,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.750842
https://www.marriott.com/hotels/travel/laxdm-le-meridien-delfina-santa-monica/?y_source=1_MTUwMjczMS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.704813
